"ID";"Leeftijd";"Marges";"RegioS";"ErvarenGezondheidGoedZeerGoed_1";"EenOfMeerLichamelijkeBeperkingen_3";"BeperkingInBewegen_6";"Ondergewicht_7";"NormaalGewicht_8";"Overgewicht_9";"MatigOvergewicht_10";"ErnstigOvergewichtObesitas_11";"VoldoetAanBeweegrichtlijn_12";"WekelijksSporter_13";"Rokers_17";"OvermatigDrinker_20"
"1023";"10000";"MBG0095";"GM0575";"    88.3";"    14.9";"    10.7";"     3.0";"    51.9";"    55.0";"    40.7";"    17.3";"    57.0";"    60.5";"    18.6";"    11.3"
"1024";"10000";"MBG0095";"GM0820";"    85.0";"    12.1";"     8.6";"     4.2";"    55.3";"    52.5";"    38.9";"    17.1";"    56.3";"    65.8";"    14.3";"     8.4"
"1025";"10000";"MBG0095";"GM0302";"    84.0";"    16.5";"     9.7";"     2.9";"    49.2";"    57.0";"    42.6";"    17.3";"    52.4";"    45.8";"    21.1";"     8.5"
"1026";"10000";"MBG0095";"GM0579";"    85.9";"    11.1";"     8.5";"     3.6";"    62.6";"    43.2";"    34.0";"    11.6";"    58.2";"    62.9";"    13.6";"     8.3"
"1027";"10000";"MBG0095";"GM0823";"    82.5";"    14.6";"     7.8";"     4.3";"    49.9";"    54.9";"    41.8";"    15.6";"    53.7";"    62.7";"    14.6";"    12.3"
"1028";"10000";"MBG0095";"GM0824";"    82.2";"    12.9";"     8.5";"     2.8";"    53.1";"    52.4";"    38.0";"    16.8";"    54.6";"    60.6";"    15.1";"     9.9"
"1029";"10000";"MBG0095";"GM1895";"    73.0";"    24.2";"    16.5";"     2.1";"    43.6";"    63.4";"    40.9";"    26.1";"    43.5";"    40.8";"    21.3";"     8.8"
"1030";"10000";"MBG0095";"GM0269";"    82.7";"    17.8";"    11.3";"     3.1";"    48.7";"    57.6";"    38.9";"    21.9";"    50.4";"    46.0";"    17.8";"     7.5"
"1031";"10000";"MBG0095";"GM0173";"    84.1";"    17.6";"    10.7";"     2.3";"    49.3";"    56.4";"    42.0";"    17.0";"    56.6";"    55.7";"    17.8";"     8.1"
"1032";"10000";"MBG0095";"GM1773";"    83.4";"    17.5";"    10.5";"     4.3";"    48.2";"    56.7";"    40.5";"    18.9";"    54.9";"    48.2";"    20.6";"    10.2"
"1033";"10000";"MBG0095";"GM0175";"    85.9";"    15.4";"     7.7";"     2.0";"    51.3";"    54.6";"    39.0";"    18.1";"    55.2";"    51.7";"    16.7";"     9.4"
"1034";"10000";"MBG0095";"GM1586";"    85.7";"    18.1";"    10.6";"     1.8";"    48.2";"    57.3";"    44.5";"    15.1";"    62.7";"    60.7";"    17.5";"    12.4"
"1035";"10000";"MBG0095";"GM0826";"    81.3";"    17.2";"    10.8";"     3.5";"    47.3";"    56.6";"    41.9";"    17.1";"    50.9";"    56.2";"    16.7";"     6.5"
"1036";"10000";"MBG0095";"GM0085";"    83.0";"    16.3";"    11.9";"     3.8";"    47.9";"    58.0";"    42.8";"    18.1";"    55.4";"    47.2";"    16.8";"     9.1"
