"ID";"RegioS";"Perioden";"AfstandTotHuisartsenpraktijk_1";"Binnen5Km_4";"AfstandTotGroteSupermarkt_20";"Binnen5Km_23";"AfstandTotWarenhuis_28";"Binnen20Km_31";"AfstandTotCafeED_32";"Binnen5Km_35";"AfstandTotCafetariaED_36";"Binnen5Km_39";"AfstandTotRestaurant_40";"Binnen5Km_43";"AfstandTotOpenbaarGroenTotaal_87";"AfstandTotBos_90";"AfstandTotSemiOpenbaarGroenTotaal_94";"AfstandTotSportterrein_95";"AfstandTotOpritHoofdverkeersweg_100";"AfstandTotTreinstationsTotaal_101";"AfstandTotBelangrijkOverstapstation_102"
"2110";"GM0311";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2126";"GM0501";"2020JJ00";"     1.6";"     2.4";"     1.0";"     4.6";"     2.0";"    11.2";"     1.3";"     7.8";"     0.7";"    12.2";"     1.0";"    19.2";"       .";"       .";"       .";"       .";"     0.9";"    22.7";"    26.8"
"2142";"GM1876";"2020JJ00";"     1.8";"     2.0";"     1.7";"     3.3";"     3.1";"    16.0";"     2.8";"     2.1";"     1.3";"     5.9";"     1.3";"     8.1";"       .";"       .";"       .";"       .";"     1.1";"     6.2";"    16.7"
"2158";"GM0213";"2020JJ00";"     1.1";"     3.5";"     1.1";"     3.7";"     3.7";"    14.2";"     4.3";"     1.0";"     0.9";"     8.9";"     0.9";"    10.0";"       .";"       .";"       .";"       .";"     1.2";"     4.5";"     9.4"
"2174";"GM0899";"2020JJ00";"     1.0";"    14.6";"     0.6";"    21.4";"     1.4";"    14.8";"     0.5";"    47.0";"     0.4";"    77.7";"     0.5";"    46.5";"       .";"       .";"       .";"       .";"     1.0";"     6.2";"     7.3"
"2190";"GM0312";"2020JJ00";"     0.8";"     7.6";"     0.7";"     7.8";"     2.7";"    29.5";"     0.6";"    10.3";"     0.7";"    20.7";"     1.1";"    31.9";"       .";"       .";"       .";"       .";"     0.8";"     3.3";"     9.7"
"2206";"GM0313";"2020JJ00";"     1.3";"     2.3";"     0.9";"     6.0";"     1.6";"    20.0";"     1.1";"     5.9";"     1.0";"     8.9";"     0.8";"    20.1";"       .";"       .";"       .";"       .";"     1.8";"     9.2";"    12.1"
"2222";"GM0214";"2020JJ00";"     1.8";"     2.1";"     1.6";"     2.8";"     4.9";"    12.8";"     1.6";"     3.5";"     1.0";"     8.4";"     1.2";"     6.8";"       .";"       .";"       .";"       .";"     1.3";"     7.1";"    29.2"
"2238";"GM0381";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2254";"GM0502";"2020JJ00";"     0.7";"    20.8";"     0.7";"    28.5";"     2.1";"    40.8";"     1.6";"    15.0";"     0.7";"    62.7";"     0.7";"    70.6";"       .";"       .";"       .";"       .";"     2.1";"     3.4";"     9.4"
"2270";"GM0383";"2020JJ00";"     0.7";"     7.1";"     0.8";"     8.1";"     2.2";"    19.7";"     1.1";"    12.3";"     0.7";"    18.4";"     0.7";"    35.6";"       .";"       .";"       .";"       .";"     1.5";"     2.8";"    11.1"
